05-05-2021 03:41:46.351,-,SERIAL,"COM5 - 9600/8/N/1/N"

05-04-2021 20:18:49.360,58,RECV,63
05-04-2021 20:18:49.609,59,SENT,67
05-04-2021 20:18:49.626,60,RECV,67
05-04-2021 20:18:50.125,61,SENT,70
05-04-2021 20:18:50.141,62,RECV,70
05-04-2021 20:18:50.281,63,SENT,73
05-04-2021 20:18:50.328,64,RECV,73
05-04-2021 20:18:51.002,65,SENT,3D
05-04-2021 20:18:51.033,66,RECV,3D
05-04-2021 20:18:51.569,67,SENT,3F
05-04-2021 20:18:51.600,68,RECV,3F
05-04-2021 20:18:51.772,69,SENT,0D
05-04-2021 20:18:51.787,70,RECV,0D
05-04-2021 20:18:51.787,71,RECV,0D0A2B434750533A2028302D31292C28312D33290D0A0D0A4F4B0D0A
05-04-2021 20:19:19.909,72,SENT,61
05-04-2021 20:19:19.924,73,RECV,61
05-04-2021 20:19:20.112,74,SENT,74
05-04-2021 20:19:20.174,75,RECV,74
05-04-2021 20:19:20.612,76,SENT,2B
05-04-2021 20:19:20.675,77,RECV,2B
05-04-2021 20:19:22.251,78,SENT,63
05-04-2021 20:19:22.297,79,RECV,63
05-04-2021 20:19:22.516,80,SENT,67
05-04-2021 20:19:22.548,81,RECV,67
05-04-2021 20:19:23.173,82,SENT,70
05-04-2021 20:19:23.235,83,RECV,70
05-04-2021 20:19:23.344,84,SENT,73
05-04-2021 20:19:23.360,85,RECV,73
05-04-2021 20:19:23.867,86,SENT,3F
05-04-2021 20:19:23.914,87,RECV,3F
05-04-2021 20:19:24.507,88,SENT,0D
05-04-2021 20:19:24.539,89,RECV,0D0D0A2B434750533A20302C310D0A0D0A4F4B0D0A
05-04-2021 20:19:56.576,90,SENT,61
05-04-2021 20:19:56.607,91,RECV,61
05-04-2021 20:19:56.653,92,SENT,74
05-04-2021 20:19:56.670,93,RECV,74
05-04-2021 20:20:00.235,94,SENT,0D
05-04-2021 20:20:00.251,95,RECV,0D0D0A4F4B0D0A
05-04-2021 20:20:54.501,96,SENT,61742B636770733D310D
05-04-2021 20:20:54.517,97,RECV,61742B636770733D310D
