05-14-2021 20:49:36.550,-,SERIAL,"COM8 - 115200/8/N/1/N"

05-14-2021 20:38:57.960,8872,RECV,414142370D0A
05-14-2021 20:38:58.966,8873,RECV,414142370D0A
05-14-2021 20:38:59.967,8874,RECV,414142370D0A
05-14-2021 20:39:00.972,8875,RECV,414142370D0A
05-14-2021 20:39:01.976,8876,RECV,414142370D0A
05-14-2021 20:39:02.984,8877,RECV,414142370D0A
05-14-2021 20:39:03.987,8878,RECV,414142370D0A
05-14-2021 20:39:04.996,8879,RECV,414142370D0A
05-14-2021 20:39:05.999,8880,RECV,414142370D0A
05-14-2021 20:39:07.002,8881,RECV,414142370D0A
05-14-2021 20:39:08.007,8882,RECV,414142370D0A
05-14-2021 20:39:09.012,8883,RECV,414142370D0A
05-14-2021 20:39:10.013,8884,RECV,414142370D0A
05-14-2021 20:39:10.966,8885,RECV,414142370D0A
05-14-2021 20:39:11.986,8886,RECV,414142370D0A
05-14-2021 20:39:13.004,8887,RECV,414142370D0A
05-14-2021 20:39:14.008,8888,RECV,414142370D0A
05-14-2021 20:39:14.956,8889,RECV,41414237
05-14-2021 20:39:15.018,8890,RECV,0D0A
05-14-2021 20:39:16.021,8891,RECV,414142370D0A
05-14-2021 20:39:17.020,8892,RECV,414142370D0A
05-14-2021 20:39:18.018,8893,RECV,414142370D0A
05-14-2021 20:39:19.020,8894,RECV,414142370D0A
05-14-2021 20:39:20.022,8895,RECV,414142370D0A
05-14-2021 20:39:20.967,8896,RECV,414142370D0A
05-14-2021 20:39:21.969,8897,RECV,414142370D0A
05-14-2021 20:39:22.970,8898,RECV,414142370D0A
05-14-2021 20:39:23.974,8899,RECV,414142370D0A
05-14-2021 20:39:24.980,8900,RECV,414142370D0A
05-14-2021 20:39:25.981,8901,RECV,414142370D0A
05-14-2021 20:39:26.983,8902,RECV,414142370D0A
05-14-2021 20:39:27.987,8903,RECV,414142370D0A
05-14-2021 20:39:28.987,8904,RECV,414142370D0A
05-14-2021 20:39:29.988,8905,RECV,414142370D0A
05-14-2021 20:39:30.991,8906,RECV,414142370D0A
05-14-2021 20:39:31.993,8907,RECV,414142370D0A
05-14-2021 20:39:32.995,8908,RECV,414142370D0A
05-14-2021 20:39:33.997,8909,RECV,414142370D0A
05-14-2021 20:39:35.005,8910,RECV,414142370D0A
05-14-2021 20:39:36.008,8911,RECV,414142370D0A
05-14-2021 20:39:37.008,8912,RECV,414142370D0A
05-14-2021 20:39:38.010,8913,RECV,414142370D0A
05-14-2021 20:39:39.012,8914,RECV,414142370D0A
05-14-2021 20:39:40.016,8915,RECV,414142370D0A
05-14-2021 20:39:41.019,8916,RECV,414142370D0A
05-14-2021 20:39:42.023,8917,RECV,414142370D0A
05-14-2021 20:39:43.026,8918,RECV,414142370D0A
05-14-2021 20:39:44.028,8919,RECV,414142370D0A
05-14-2021 20:39:45.030,8920,RECV,414142370D0A
05-14-2021 20:39:46.031,8921,RECV,414142370D0A
05-14-2021 20:39:47.030,8922,RECV,414142370D0A
05-14-2021 20:39:48.034,8923,RECV,414142370D0A
05-14-2021 20:39:49.037,8924,RECV,414142370D0A
05-14-2021 20:39:50.037,8925,RECV,414142370D0A
05-14-2021 20:39:51.040,8926,RECV,414142370D0A
05-14-2021 20:39:52.041,8927,RECV,414142370D0A
05-14-2021 20:39:53.026,8928,RECV,414142370D0A
05-14-2021 20:39:54.028,8929,RECV,414142370D0A
05-14-2021 20:39:55.031,8930,RECV,414142370D0A
05-14-2021 20:39:56.030,8931,RECV,414142370D0A
05-14-2021 20:39:57.020,8932,RECV,414142370D0A
05-14-2021 20:39:58.020,8933,RECV,414142370D0A
05-14-2021 20:39:59.019,8934,RECV,414142370D0A
05-14-2021 20:40:00.013,8935,RECV,414142370D0A
05-14-2021 20:40:01.002,8936,RECV,414142370D0A
05-14-2021 20:40:02.062,8937,RECV,414142370D0A
05-14-2021 20:40:03.061,8938,RECV,414142370D0A
05-14-2021 20:40:04.060,8939,RECV,414142370D0A
05-14-2021 20:40:05.062,8940,RECV,414142370D0A
05-14-2021 20:40:06.061,8941,RECV,414142370D0A
05-14-2021 20:40:07.059,8942,RECV,414142370D0A
05-14-2021 20:40:08.054,8943,RECV,414142370D0A
05-14-2021 20:40:09.056,8944,RECV,414142370D0A
05-14-2021 20:40:10.045,8945,RECV,414142370D0A
05-14-2021 20:40:11.049,8946,RECV,414142370D0A
05-14-2021 20:40:12.045,8947,RECV,414142370D0A
05-14-2021 20:40:13.045,8948,RECV,414142370D0A
05-14-2021 20:40:14.045,8949,RECV,414142370D0A
05-14-2021 20:40:15.048,8950,RECV,414142370D0A
05-14-2021 20:40:16.052,8951,RECV,414142370D0A
05-14-2021 20:40:17.051,8952,RECV,414142370D0A
05-14-2021 20:40:18.052,8953,RECV,414142370D0A
